artist,length,number_words,expl_bool,total_expl,grp_1,grp_2,tb_polarity,tb_subjectivity,vader_neg,vader_neu,vader_pos,compound
2pac,475.02702702702703,97.13513513513513,0.5405405405405406,2.4864864864864864,0.42342342342342343,0.9819819819819819,0.013488950087927469,0.46696932506941413,0.12745945945945947,0.7471261261261261,0.12545945945945947,-0.11881981981981982
A$AP Ant,39.01985559566787,8.0,0.29693140794223827,0.33212996389891697,0.05054151624548736,0.09296028880866426,0.002082499893307653,0.19127903436398477,0.12798375451263533,0.8031714801444042,0.06703519855595662,-0.09971705776173305
A$AP Rocky,45.075762338887145,9.306507387613959,0.3269412134548884,0.37692549512731843,0.08896573404589751,0.13895001571832757,-0.0009618076815892029,0.26993985568962015,0.13002892172272865,0.7771251178874566,0.09284093052499222,-0.06952313737818333
Action Bronson,44.04713036868111,8.853287723299125,0.2128468263017864,0.1782592170277461,0.049410870391486124,0.003040668947168377,0.0016488024236979062,0.2539300500940562,0.09846294184720637,0.8056545039908773,0.09587457240592946,-0.016336982136070065
André 3000,39.01272264631043,8.318066157760814,0.02544529262086514,0.007633587786259542,0.002544529262086514,0.002544529262086514,0.053356281829564284,0.24418845855868784,0.051666666666666694,0.8108575063613225,0.13750127226463113,0.11048193384223923
Bas,45.61239701843861,9.520988622989407,0.2785406041584935,0.2691251471165163,0.0451157316594743,0.11259317379364457,0.011182143008104198,0.26564989317563886,0.10618085523734797,0.797093369948998,0.09673087485288348,-0.021286739897999278
Big L,44.419469026548676,9.398482932996208,0.20353982300884957,0.21643489254108722,0.03640960809102402,0.07585335018963338,-0.006170881501791738,0.26398700360252186,0.12036409608091013,0.7806611883691508,0.09897243994943121,-0.044363236409608195
Chance The Rapper,42.73856427378965,8.909181969949916,0.17896494156928214,0.18497495826377294,0.054424040066777965,0.04908180300500835,0.021271179336183523,0.2530090896474449,0.10005709515859755,0.7788777963272107,0.12106377295492454,0.02506988313856419
Childish Gambino,47.13124065769806,9.813751868460388,0.16292974588938713,0.16681614349775784,0.03886397608370702,0.06278026905829596,0.003696630576052599,0.27410705753339515,0.0959961136023916,0.7979626307922246,0.10603766816143499,0.007780568011958116
Common,44.006851355376824,9.075960679177838,0.11319630622579684,0.09472743521000894,0.005659815311289842,0.044682752457551385,0.03755418409909029,0.23440211100007774,0.0774888293118856,0.8028596961572816,0.11965355972594574,0.05881885612153697
CunninLynguists,46.43715311785831,9.262814234410708,0.10218739797584069,0.06496898465556644,0.015997388181521383,0.008488410055501142,0.021327180387537874,0.2538619168675485,0.10673326803787131,0.7962422461638916,0.097026118184786,-0.014973849167482853
Deniro Farrar,43.84036144578313,9.086680053547523,0.3032128514056225,0.3433734939759036,0.059571619812583666,0.16967871485943775,-0.016067276794942985,0.2639367485035759,0.14396854082998653,0.7686746987951805,0.08734672021419006,-0.09375572289156614
Drake,42.4,8.986915887850467,0.20218068535825545,0.19345794392523363,0.03987538940809969,0.07476635514018691,0.01632405170907895,0.2616437944086899,0.09545482866043606,0.8017105919003134,0.102832398753894,-0.0009660124610591814
Earl Sweatshirt,47.48993288590604,9.457718120805369,0.3243847874720358,0.31409395973154364,0.0756152125279642,0.09082774049217002,-0.0181407264953127,0.26641773683272596,0.13716152125279651,0.7788357941834445,0.08400492170022382,-0.09138281879194639
Eazy-E,41.88763358778626,8.867175572519084,0.32916030534351143,0.38290076335877865,0.0635114503816794,0.09709923664122137,-0.03592115383909287,0.24935164826691558,0.14365435114503747,0.7829664122137384,0.07338015267175586,-0.1173712061068697
Eminem,43.85953346855984,9.152298850574713,0.14790398918187964,0.1337052062204192,0.05138607167004733,0.002535496957403651,-0.0224352253773376,0.26461862129216884,0.12054682217714655,0.7933509127789047,0.08610091277890469,-0.06496908384043286
Ice Cube,41.46713799423933,8.603037444357161,0.27572663000785547,0.27913066247708823,0.05970149253731343,0.071222833202409,-0.02502861516237628,0.2251375792782789,0.13807279392511113,0.7915708300602238,0.07035820895522389,-0.11095841843414518
Immortal Technique,53.29994700582936,10.119766825649178,0.178060413354531,0.1685214626391097,0.05087440381558029,0.04636989931107578,-0.019414779907303625,0.24595241825975445,0.13566481187069404,0.7748762586115525,0.08945760466348686,-0.08651934287228423
Isaiah Rashad,44.27693535514764,9.29369513168396,0.3024740622505986,0.3435754189944134,0.055865921787709494,0.10335195530726257,0.018616371765171776,0.27207970820187194,0.12928890662410208,0.7671620111731842,0.10354429369513181,-0.051461612130885945
J Cole,45.76536312849162,9.695022854240731,0.22270187912646014,0.2795835449466734,0.041137633316404264,0.12519045200609447,0.017000825137757702,0.26839663335001923,0.11469527679024873,0.7770368207211752,0.1082653631284917,-0.015823717623159084
Jay-z,42.24340659340659,8.736538461538462,0.1804945054945055,0.17774725274725275,0.027472527472527472,0.07664835164835165,0.007620853829473348,0.2583194502765243,0.10781950549450521,0.7959543956043947,0.09622417582417594,-0.027284945054945185
Joey Bada,44.622117400419285,9.139412997903564,0.16876310272536688,0.15435010482180295,0.02489517819706499,0.07180293501048218,0.016027346738497185,0.25077946324048206,0.10873139412997897,0.7901936582809213,0.10107494758909817,-0.015355345911949815
Kanye West,42.687586781449596,8.945570674812553,0.20188836434323798,0.19716745348514303,0.034990280477645096,0.06109414051652319,0.01691865584469822,0.25470834160759115,0.1087114690363787,0.8017203554568137,0.08957039711191325,-0.03274404332129967
Kendrick Lamar,44.047515730093295,9.08678672163159,0.180299414189629,0.198307658928184,0.04230852679540031,0.058364070297244525,0.01739189234321038,0.24946323640820708,0.10980755044478199,0.7854200477326949,0.10477739205901473,-0.01777277066608823
Lil Wayne,42.83556356150283,9.097014925373134,0.3492022645393721,0.43489449305198147,0.06407617086978899,0.12480699948533196,-0.011042088368066286,0.2647510482597966,0.14549099330931534,0.7531255790015423,0.10138136901698397,-0.08451574884199702
Logic,44.22604651162791,9.30860465116279,0.17255813953488372,0.1613953488372093,0.053023255813953486,0.0060465116279069765,0.010971750756779844,0.250952643211654,0.1011788372093023,0.7846330232558135,0.1141893023255815,0.002677325581395277
Lupe Fiasco,43.34451219512195,8.867495309568481,0.10201688555347092,0.0952157598499062,0.007035647279549718,0.054878048780487805,0.025611144282286367,0.22014435749587627,0.08354080675422146,0.8120218105065654,0.10443339587242015,0.02706407129455903
Mac Miller,44.85281774580336,9.291666666666666,0.19244604316546762,0.18735011990407674,0.06175059952038369,0.009892086330935251,0.018668866133644317,0.2976925582827116,0.11424490407673867,0.7662874700239793,0.11945953237410088,-0.007409622302158317
Montana of 300,45.74015748031496,9.701224846894139,0.3357392825896763,0.36548556430446194,0.04177602799650044,0.1268591426071741,0.005528303585772973,0.2438120601167397,0.13831342957130338,0.7403289588801407,0.12136132983377076,-0.0431570647419075
NF,46.07532303813426,10.001890954932241,0.02017018594390167,0.0,0.0,0.0,0.016775987812073557,0.24078032904577248,0.07563220926567904,0.8173646391427677,0.10700661834226272,0.05372817522849025
Nas,43.851983844143504,8.886196246139226,0.1499168448562604,0.1382751247327156,0.015918270373010215,0.0681872178664766,0.011581847697017575,0.2510704009391344,0.10961416013304813,0.7976160608220438,0.09277049180327858,-0.03244625801853179
Pusha-T,44.12986608533167,8.919339769542198,0.2282777950794145,0.2388663967611336,0.030520087200249145,0.1270632201806291,0.012835087719997862,0.2154938464226014,0.10981750233572081,0.7955465587044528,0.0946328246652133,-0.021053970725630932
Royce Da 59,48.17351900972591,9.882847038019452,0.20004420866489833,0.19982316534040673,0.03713527851458886,0.06763925729442971,0.020682326359824185,0.26285396956622653,0.11422192749778971,0.7948194076038901,0.09096242263483653,-0.04677038019451838
Scarface,44.85912117177097,9.38295605858855,0.27909454061251665,0.30492676431424764,0.050865512649800264,0.09800266311584555,-0.023027754338673132,0.260419289013496,0.1381632490013316,0.7939853528628493,0.06785113182423447,-0.124107217043941
Talib Kweli,46.80383680086463,9.421777897865441,0.10240475547149419,0.08700351256417184,0.0262091326668468,0.031613077546609025,0.03885454644877765,0.25828457373782987,0.08878059983788157,0.7902091326668461,0.12100999729802751,0.047213050526884334
Tyler The Creator,46.200700431034484,9.422952586206897,0.3582974137931034,0.41864224137931033,0.1705280172413793,0.08728448275862069,-0.05102742431877672,0.3155197314309643,0.15322332974137942,0.7579846443965522,0.08879175646551717,-0.11252745150862059
cardib,400.3,83.725,0.775,4.675,0.775,0.475,-0.09409055961399712,0.4721934072871573,0.187425,0.6803000000000001,0.13224999999999995,-0.4146674999999999
dmx,513.0515463917526,108.91752577319588,0.6288659793814433,4.309278350515464,0.7835051546391752,1.8556701030927836,-0.005401979326218209,0.4225127616468746,0.14049484536082477,0.7723402061855672,0.08705154639175255,-0.3432391752577321
missyelliott,353.11764705882354,74.67647058823529,0.5,1.0588235294117647,0.08823529411764706,0.11764705882352941,0.07597784330775738,0.37970529606740877,0.06697058823529412,0.833294117647059,0.09985294117647057,0.15458823529411764
the notorious big,42.51002277904328,8.734168564920273,0.28428246013667424,0.3182232346241458,0.05694760820045558,0.08451025056947609,-0.015559589555176154,0.24843943131870186,0.1368858769931657,0.7783186788154903,0.08479134396355353,-0.09378895216400883
